idx,fold,ratio of preparation/free drug
1,-1,0.19474821416864163
3,-1,0.3118214521702607
4,-1,0.6919647276712837
6,-1,0.1740350987663205
7,-1,0.28282226536527183
14,-1,0.28652748837115505
17,-1,0.07492052890756137
18,-1,0.07492052890756137
19,-1,0.2521596092312068
20,-1,0.19886032556270028
21,-1,0.410362995643203
24,-1,0.3290847376654843
25,-1,0.5635355140532039
27,-1,0.2896318006378629
28,-1,0.46039186624673933
43,-1,0.2772062415905657
44,-1,0.3050440164719134
45,-1,0.30169221585762945
56,-1,0.5928867106509008
58,-1,0.3844088511885449
59,-1,0.3119500580586542
63,-1,0.5243874288457818
64,-1,0.37187821558145817
65,-1,0.3688168398296204
66,-1,0.3688168398296204
69,-1,0.5296115323266776
70,-1,0.8264669525804802
78,-1,0.3430508204441003
79,-1,0.5486742591520892
81,-1,0.22862676054109896
82,-1,0.3229880392351785
86,-1,0.3805444199353507
87,-1,0.8340220019882181
88,-1,0.8340220019882181
89,-1,0.8241611572709697
91,-1,0.4855430356229258
92,-1,0.5654864646916643
94,-1,0.5766498064134833
103,-1,0.21442006152383988
108,-1,0.3794719829121605
109,-1,0.8528867428926612
110,-1,0.8528867428926612
111,-1,0.8213059745084347
113,-1,0.5889594283055885
114,-1,0.8607712892280079
116,-1,0.4896986154872746
117,-1,0.7979024679711861
119,-1,0.3571024564245575
120,-1,0.4218925471262554
121,-1,0.9147841313389838
122,-1,0.8671481311478728
124,-1,0.4824721134564294
125,-1,0.47740005080488723
126,-1,0.7487311280038593
131,-1,0.4004582641003707
132,-1,0.48100173997639745
135,-1,0.3111543026987301
145,-1,0.31970436391832313
146,-1,0.3204187217507316
147,-1,0.341640142778441
148,-1,0.23859783902895365
149,-1,0.2255114980132118
152,-1,0.39031077529126684
153,-1,0.629853291367099
154,-1,0.22494167095740736
155,-1,0.22494167095740736
171,-1,0.17708236197561222
173,-1,0.4809622237131609
175,-1,0.27649290390982145
177,-1,0.9489580588976028
178,-1,0.8608668839166602
185,-1,0.58198582408356
186,-1,0.20538595432543325
196,-1,0.7185734984006628
197,-1,0.7828909936406092
198,-1,0.7828909936406092
201,-1,0.12860845715497352
202,-1,0.3059998988645829
204,-1,0.43400152386145374
205,-1,0.7098588225286517
206,-1,0.7098588225286517
207,-1,0.3254307574981213
209,-1,0.4551922256415713
211,-1,0.27827846514361515
212,-1,0.21905963382070737
214,-1,0.26793080853466
215,-1,0.2637003120194827
218,-1,0.20188606518563318
219,-1,0.1296976193593336
220,-1,0.5320613363313343
221,-1,0.4637809629803823
222,-1,0.3619866605710872
223,-1,0.8434972375208721
224,-1,0.5394701492648182
225,-1,0.5394701492648182
226,-1,0.5394701492648182
227,-1,0.19672370652194418
231,-1,0.34143892566234685
232,-1,0.34068057371428534
233,-1,0.42292992140987284
236,-1,0.5574373097169304
238,-1,0.7159961116260215
239,-1,0.7167734919809622
241,-1,0.20730342813446387
242,-1,0.20730342813446387
243,-1,0.3520156077915167
244,-1,0.3520156077915167
247,-1,0.2986679587299511
248,-1,0.7085570638138026
249,-1,0.533364168600206
250,-1,0.7065980683510416
252,-1,0.3275669873630428
256,-1,0.5021408928682426
258,-1,0.37406800910461085
261,-1,0.23423067423606225
262,-1,0.2008703820675839
264,-1,0.20122139482567497
265,-1,0.48039943329610646
269,-1,0.4626603068057601
270,-1,0.2649845073840964
271,-1,0.2391787369770535
272,-1,0.22782993673639465
274,-1,0.2094591471988598
275,-1,0.3046514588043666
284,-1,0.8474101287742355
285,-1,0.3967137200429968
286,-1,0.3992802660669416
287,-1,0.4241693600836568
288,-1,0.2558175146790642
293,-1,0.7304057381593193
295,-1,0.27960084500488513
296,-1,0.5898841283454693
298,-1,0.5359483734042856
299,-1,0.5239794169556306
301,-1,0.15257490864161377
312,-1,0.2597850993706272
314,-1,0.5595827472865764
315,-1,0.7989878352531717
316,-1,0.740834636791036
317,-1,0.28738897794378926
320,-1,0.4683013072990496
322,-1,0.5537348616841353
325,-1,0.895519050943819
328,-1,0.7045067816115448
330,-1,0.2651296175352337
336,-1,0.29111763361150367
337,-1,0.2645966978452721
341,-1,0.31826605739604535
342,-1,0.22881700016965426
344,-1,0.32619961289828575
347,-1,0.5751072700577237
349,-1,0.555095867428057
351,-1,0.6254957996314674
353,-1,0.2688782652304066
355,-1,0.4519476910338948
356,-1,0.607005935893662
358,-1,0.2626114197183653
359,-1,0.41826205468454025
360,-1,0.2372823968280872
362,-1,0.6164430699183119
364,-1,0.5290521131726129
365,-1,0.4168172502872257
367,-1,0.22185271075051513
370,-1,0.265250795015478
374,-1,0.21082379798083972
375,-1,0.2574337569407855
378,-1,0.18164322017245113
379,-1,0.7254937470965919
380,-1,0.5431448581309384
381,-1,0.5738430145444025
382,-1,0.3288454840333601
383,-1,0.48973307126919047
384,-1,0.2803938465174989
385,-1,0.2803938465174989
386,-1,0.7478967118350278
387,-1,0.3307181699680478
388,-1,0.33067524237677914
390,-1,0.3823075624688463
396,-1,0.45563550269182174
397,-1,0.38450832114277866
399,-1,0.21897701548769208
401,-1,0.20710546034475902
402,-1,0.26860201444201365
403,-1,0.8945428242750812
404,-1,0.7776521791705864
410,-1,0.42130308963320107
411,-1,0.38745020894017435
412,-1,0.4969146822885152
413,-1,0.5260539672336989
416,-1,0.42194109676737707
417,-1,0.42194109676737707
418,-1,0.3760902332928193
419,-1,0.36314693591941427
426,-1,0.4695177745244186
428,-1,0.3795203668396241
430,-1,0.18556691479458015
431,-1,0.18556691479458015
432,-1,0.20572992992690867
439,-1,0.5869743520411264
440,-1,0.5326156149620754
441,-1,0.4790770192998159
442,-1,0.3481654138397247
444,-1,0.32315868376264023
445,-1,0.6517941525455258
447,-1,0.32315868376264023
448,-1,0.6517941525455258
450,-1,0.4076264726521299
451,-1,0.7703831052021939
452,-1,0.4149582110758347
453,-1,0.2499374860178049
455,-1,0.4356117231634011
456,-1,0.7549564793402971
457,-1,0.78456548538928
458,-1,0.6634544653043865
460,-1,0.24277193740093572
461,-1,0.610697036753678
472,-1,0.5686506025466479
483,-1,0.7293678028512155
493,-1,0.2868639494586613
494,-1,0.5020407945247949
495,-1,0.5017629755745818
497,-1,0.23787622904161532
498,-1,0.46300179346684717
499,-1,0.467680410646965
500,-1,0.3230301304753964
502,-1,0.49644958431462377
503,-1,0.46364290255410895
506,-1,0.3535874329634355
508,-1,0.5116256071241534
509,-1,0.42801897912658626
510,-1,0.6662265192291122
511,-1,0.6926542129659575
514,-1,0.7663762697933114
515,-1,1.020503717677666
532,-1,0.3180778966685282
533,-1,0.6823876252586135
534,-1,0.3178470488886886
536,-1,0.3021838397883923
537,-1,0.3021838397883923
546,-1,0.7355162436428299
549,-1,0.4003648964631285
550,-1,0.6282582438683788
551,-1,0.5076594744222478
552,-1,0.7403534466660111
560,-1,0.3429732724263953
561,-1,0.3935774209527394
563,-1,0.23035865889598545
566,-1,0.33265942509472746
568,-1,0.336221932573025
569,-1,0.34319379570800107
571,-1,0.7210447448498537
573,-1,0.40960083863211927
574,-1,0.35092973171266256
576,-1,0.571886123829806
577,-1,0.4406321551336067
582,-1,0.34990913274792196
583,-1,0.7915200816353957
584,-1,0.6282201286763179
586,-1,0.4415451230321005
587,-1,0.325229843755006
589,-1,0.3190455675015034
590,-1,0.5228976590344767
